country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate,wb_country_name,wb_region,income_group,lending_type,gdp_per_capita_ppp_2021,gdp_per_capita_ppp_2021_year,gdp_per_capita_ppp_2021_lag,urban_population_pct,urban_population_pct_year,urban_population_pct_lag,population_age_65plus_pct,population_age_65plus_pct_year,population_age_65plus_pct_lag,health_expenditure_per_capita_usd,health_expenditure_per_capita_usd_year,health_expenditure_per_capita_usd_lag,uhc_service_coverage_index,uhc_service_coverage_index_year,uhc_service_coverage_index_lag,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_year,manufacturing_value_added_pct_gdp_lag,pm25_mean_annual_ug_m3,pm25_mean_annual_ug_m3_year,pm25_mean_annual_ug_m3_lag,log_gdp_per_capita_ppp,log_health_expenditure_per_capita
Afghanistan,AFG,2023,No,Asia,Not regulated,Afghanistan,491.4936660836482,39881.46184796041,Afghanistan,0,6.197449052594008,10.593666879571469,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,1981.71016810561,2022.0,0.0,25.3939250580909,2022,0,2.35514236704931,2022,0,80.6516037,2022.0,0.0,,,,10.1902619598408,2022.0,0.0,40.2067792804569,2022.0,0.0,7.592219959544949,4.402461460374845
Albania,ALB,2023,Yes,Europe,Regulated,Albania,866.4986528081694,30537.38335588021,Albania,1,6.76446055440335,10.326706895857685,Albania,Europe & Central Asia,Upper middle income,IBRD,19388.7927279351,2022.0,0.0,57.8643477747383,2022,0,15.7763381628571,2022,0,506.86920166,2022.0,0.0,,,,7.50461634545543,2022.0,0.0,16.4538233724819,2022.0,0.0,9.872502058542384,6.230223937378332
Algeria,DZA,2023,Yes,Africa,Regulated,Algeria,522.6764988904783,26867.01233354585,Algeria,1,6.258962723718008,10.198654505756716,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,14782.2002970247,2022.0,0.0,74.1795862354514,2022,0,6.18696352392874,2022,0,180.33454895,2022.0,0.0,,,,10.2173706724576,2022.0,0.0,19.1821741766237,2022.0,0.0,9.60124669995526,5.200343661933745
Andorra,AND,2023,No,Europe,Not regulated,Andorra,731.3025282744549,27336.90741043397,Andorra,0,6.594827229503878,10.215992987948397,Andorra,Europe & Central Asia,High income,Not classified,63913.3835079105,2022.0,0.0,88.7548766267286,2022,0,14.9689479957343,2022,0,3190.11328125,2022.0,0.0,,,,3.57566714740944,2022.0,0.0,11.4677282320292,2022.0,0.0,11.065299709056276,8.068125125883162
Angola,AGO,2023,No,Africa,Not regulated,Angola,678.1376717763378,48652.57946089073,Angola,0,6.519350323044686,10.792460106987445,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,8750.99363032299,2022.0,0.0,69.0506188977513,2022,0,2.77333855965152,2022,0,103.94506073,2022.0,0.0,,,,6.71647813736907,2022.0,0.0,22.5172239045117,2022.0,0.0,9.077036796864764,4.653436982081485
Antigua and Barbuda,ATG,2023,No,North America,Not regulated,Antigua and Barbuda,681.98707113361,30359.89163678906,Antigua and Barbuda,0,6.5250107003816735,10.320877662227474,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,27785.5572316838,2022.0,0.0,24.5114484000414,2022,0,10.728672985782,2022,0,891.00323486,2022.0,0.0,,,,2.70411490543874,2022.0,0.0,7.94265413166136,2022.0,0.0,10.232307629912233,6.793469759098097
Argentina,ARG,2023,Yes,South America,Regulated,Argentina,786.1304774319902,29388.6752859034,Argentina,1,6.667122780474299,10.288364684763344,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,27825.0273492567,2022.0,0.0,92.112838186126,2022,0,12.0340800139112,2022,0,1415.79577637,2022.0,0.0,,,,16.4165686180445,2022.0,0.0,15.8656062718096,2022.0,0.0,10.233727097268323,7.256153105358873
Armenia,ARM,2023,Yes,Asia,Regulated,Armenia,813.1452016272904,30462.12318768307,Armenia,1,6.700909693388332,10.3242393281461,Armenia,Europe & Central Asia,Upper middle income,IBRD,17886.1783877168,2022.0,0.0,65.5624462874485,2022,0,12.9151582271286,2022,0,674.78619385,2022.0,0.0,,,,11.4321929622965,2022.0,0.0,29.3633535061781,2022.0,0.0,9.791839443980738,6.515876744728507
Australia,AUS,2023,Yes,Oceania,Regulated,Australia,675.9949463626017,27082.77802448804,Australia,1,6.516185600220052,10.20665330760246,Australia,East Asia & Pacific,High income,Not classified,60029.1329190733,2022.0,0.0,87.3343268253813,2022,0,17.0750320469828,2022,0,6723.98242188,2022.0,0.0,,,,5.28875408553718,2022.0,0.0,5.30273651659332,2022.0,0.0,11.00260193045422,8.813584590619783
Austria,AUT,2023,Yes,Europe,Regulated,Austria,976.5796329139432,30801.580332861715,Austria,1,6.884056296314803,10.335321277153875,Austria,Europe & Central Asia,High income,Not classified,65694.4591501468,2022.0,0.0,68.998085127906,2022,0,19.7897509199721,2022,0,5897.97607422,2022.0,0.0,,,,16.6515788411782,2022.0,0.0,10.6275168759367,2022.0,0.0,11.092785087170105,8.68253406809046
