country,iso_code,Year,regulation,region,regulation_label,ihme_country,death_rate,daly_rate,country_for_merge,reg_binary,log_death_rate,log_daly_rate
Afghanistan,AFG,2023,No,Asia,Not regulated,Afghanistan,491.4936660836482,39881.46184796041,Afghanistan,0,6.197449052594008,10.593666879571467
Albania,ALB,2023,Yes,Europe,Regulated,Albania,866.4986528081694,30537.38335588021,Albania,1,6.76446055440335,10.326706895857685
Algeria,DZA,2023,Yes,Africa,Regulated,Algeria,522.6764988904783,26867.01233354585,Algeria,1,6.258962723718008,10.198654505756716
Andorra,AND,2023,No,Europe,Not regulated,Andorra,731.3025282744549,27336.90741043397,Andorra,0,6.594827229503878,10.215992987948395
Angola,AGO,2023,No,Africa,Not regulated,Angola,678.1376717763378,48652.57946089073,Angola,0,6.519350323044686,10.792460106987443
Antigua and Barbuda,ATG,2023,No,North America,Not regulated,Antigua and Barbuda,681.98707113361,30359.89163678906,Antigua and Barbuda,0,6.5250107003816735,10.320877662227474
Argentina,ARG,2023,Yes,South America,Regulated,Argentina,786.1304774319902,29388.6752859034,Argentina,1,6.667122780474299,10.288364684763343
Armenia,ARM,2023,Yes,Asia,Regulated,Armenia,813.1452016272904,30462.12318768307,Armenia,1,6.700909693388332,10.324239328146101
Australia,AUS,2023,Yes,Oceania,Regulated,Australia,675.9949463626017,27082.778024488038,Australia,1,6.516185600220052,10.20665330760246
Austria,AUT,2023,Yes,Europe,Regulated,Austria,976.5796329139432,30801.580332861715,Austria,1,6.884056296314803,10.335321277153875
Azerbaijan,AZE,2023,No,Asia,Not regulated,Azerbaijan,661.3263720478753,32339.65391624171,Azerbaijan,0,6.494247472984023,10.384049431658925
Bahrain,BHR,2023,No,Asia,Not regulated,Bahrain,300.5232261477566,20747.057823288887,Bahrain,0,5.705525042661482,9.94015972395673
Bangladesh,BGD,2023,Yes,Asia,Regulated,Bangladesh,626.9874168786444,32050.302676122017,Bangladesh,1,6.440926471657448,10.375061906176985
