population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,1,Number,2023,182180.09548927436,183307.47053452863,181081.86934508034
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,3,Rate,2023,675.9949463626017,680.1781686361458,671.9198835987762
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,1,Number,2023,4079.1920649069257,4267.139305605026,3923.3694121533767
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,294,All causes,3,Rate,2023,732.6106496843163,766.3654099219544,704.6253690079293
1,All Population,1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,1,Number,2023,619.3862724655323,661.3774478182759,586.4949620490618
1,All Population,1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,3,Rate,2023,681.98707113361,728.2222558080806,645.7714663424609
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,1,Number,2023,169797.4507601617,171104.4946109162,168575.99605128946
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,294,All causes,3,Rate,2023,954.7776708610111,962.1272292786996,947.9093835176002
1,All Population,1,Deaths,6,China,3,Both,22,All ages,294,All causes,1,Number,2023,10660792.091490211,11580407.623619618,9796217.508271005
