outcome,outcome_label,analysis,n,coefficient_log_scale,percent_difference,percent_ci_low,percent_ci_high,p_value,notes,successful_replicates,failed_replicates
daly_rate,DALY Rate,"Primary model, nonrobust SE",160,-0.034003598560146564,-3.34319736219304,-9.833898451553457,3.614743631165984,0.33530853200362337,Coefficient is unchanged; standard errors and confidence intervals vary.,,
daly_rate,DALY Rate,"Primary model, HC0 SE",160,-0.034003598560146564,-3.34319736219304,-9.42801187662814,3.150407645221498,0.3053727349272256,Coefficient is unchanged; standard errors and confidence intervals vary.,,
daly_rate,DALY Rate,"Primary model, HC1 SE",160,-0.034003598560146564,-3.34319736219304,-9.6412740945085,3.393860443932839,0.32260504424253733,Coefficient is unchanged; standard errors and confidence intervals vary.,,
daly_rate,DALY Rate,"Primary model, HC2 SE",160,-0.034003598560146564,-3.34319736219304,-9.724420963065993,3.4890896943646332,0.32917031313452394,Coefficient is unchanged; standard errors and confidence intervals vary.,,
daly_rate,DALY Rate,"Primary model, HC3 SE",160,-0.034003598560146564,-3.34319736219304,-10.046125511198822,3.8592006098310705,0.3537621930102044,Coefficient is unchanged; standard errors and confidence intervals vary.,,
death_rate,Death Rate,"Primary model, nonrobust SE",160,-0.03760724116777375,-3.690887083483607,-11.616630581425236,4.945594310154955,0.3882575606982528,Coefficient is unchanged; standard errors and confidence intervals vary.,,
death_rate,Death Rate,"Primary model, HC0 SE",160,-0.03760724116777375,-3.690887083483607,-11.223897706045982,4.481329897246411,0.36546079113262375,Coefficient is unchanged; standard errors and confidence intervals vary.,,
death_rate,Death Rate,"Primary model, HC1 SE",160,-0.03760724116777375,-3.690887083483607,-11.485653313681699,4.790303244705685,0.3824750080582936,Coefficient is unchanged; standard errors and confidence intervals vary.,,
death_rate,Death Rate,"Primary model, HC2 SE",160,-0.03760724116777375,-3.690887083483607,-11.637460924987886,4.970333897855261,0.3920328329048517,Coefficient is unchanged; standard errors and confidence intervals vary.,,
death_rate,Death Rate,"Primary model, HC3 SE",160,-0.03760724116777375,-3.690887083483607,-12.094265018379103,5.515814556417609,0.4194681429009325,Coefficient is unchanged; standard errors and confidence intervals vary.,,
daly_rate,,"Country bootstrap, primary model",160,-0.03511084335855121,-3.4501608758191082,-9.609957963283556,3.4113228910114035,,Percentile interval from country-level bootstrap replicates.,2000.0,0.0
death_rate,,"Country bootstrap, primary model",160,-0.04133358889735111,-4.049100499360603,-12.069393974491927,4.163596422060212,,Percentile interval from country-level bootstrap replicates.,2000.0,0.0
daly_rate,DALY Rate,"Primary model, region-clustered SE",160,-0.034003598560146564,-3.34319736219304,-8.122542073506779,1.684762584947519,0.18876833647358493,Clustered across 7 World Bank regions; few-cluster inference is exploratory.,,
death_rate,Death Rate,"Primary model, region-clustered SE",160,-0.03760724116777375,-3.690887083483607,-9.751071666496369,2.7762368156888817,0.2567378043893789,Clustered across 7 World Bank regions; few-cluster inference is exploratory.,,
daly_rate,DALY Rate,Huber robust regression,160,-0.0360581296200464,-3.5415779060865016,-9.886651989968609,3.2502664512235935,0.29896558210936797,Outlier-resistant M-estimation; normal-approximation interval.,,
death_rate,Death Rate,Huber robust regression,160,-0.03621396197340604,-3.556608077878809,-11.248374269470196,4.801774264787273,0.39310764609656634,Outlier-resistant M-estimation; normal-approximation interval.,,
daly_rate,DALY Rate,Quantile regression q=0.25,160,-0.038766777857734525,-3.802496313484205,-11.086000607923497,4.077645576494882,0.33215747428975756,Tests whether the association differs across the conditional outcome distribution.,,
daly_rate,DALY Rate,Quantile regression q=0.50,160,-0.03108633263916616,-3.060812069600072,-10.311321189900347,4.775834378186805,0.43068623132651035,Tests whether the association differs across the conditional outcome distribution.,,
daly_rate,DALY Rate,Quantile regression q=0.75,160,-0.01086205476468649,-1.0803275660945078,-9.161535694377488,7.719804261656882,0.8015079765236084,Tests whether the association differs across the conditional outcome distribution.,,
death_rate,Death Rate,Quantile regression q=0.25,160,-0.04200522993212985,-4.113523423827559,-13.114559129768033,5.819988919949393,0.40111938610855297,Tests whether the association differs across the conditional outcome distribution.,,
death_rate,Death Rate,Quantile regression q=0.50,160,-0.04671917895323041,-4.564463696452048,-13.552420030648548,5.357970608024987,0.352162511829612,Tests whether the association differs across the conditional outcome distribution.,,
death_rate,Death Rate,Quantile regression q=0.75,160,-0.023798838010435475,-2.3517878911747725,-11.26155808163829,7.452566462935706,0.6237887054574586,Tests whether the association differs across the conditional outcome distribution.,,
daly_rate,DALY Rate,Alternative six-continent region adjustment,160,-0.05593224686201137,-5.43967986957642,-11.68340438651625,1.2454576748089918,0.10853313229798427,Replaces World Bank analytical regions with dashboard continent categories.,,
death_rate,Death Rate,Alternative six-continent region adjustment,160,-0.06911460213241705,-6.67802750208184,-14.79456922504948,2.2116838292253638,0.13655275789941443,Replaces World Bank analytical regions with dashboard continent categories.,,
daly_rate,DALY Rate,Gamma GLM with log link,160,-0.035703154649518565,-3.507331502598121,-9.647822107269533,3.050477486039904,0.28721251711128537,Models positive raw rates with multiplicative mean structure.,,
death_rate,Death Rate,Gamma GLM with log link,160,-0.03570969099506577,-3.5079622099609242,-10.951986900617472,4.558350409043421,0.38333501810133286,Models positive raw rates with multiplicative mean structure.,,
daly_rate,DALY Rate,Only 2022 primary covariates,160,-0.034003598560146564,-3.34319736219304,-10.046125511198822,3.8592006098310705,0.3537621930102044,Excludes countries with carried-forward primary covariate values.,,
death_rate,Death Rate,Only 2022 primary covariates,160,-0.03760724116777375,-3.690887083483607,-12.094265018379103,5.515814556417609,0.4194681429009325,Excludes countries with carried-forward primary covariate values.,,
