outcome,outcome_label,analysis,n,coefficient_log_scale,percent_difference,percent_ci_low,percent_ci_high,p_value,notes,excluded_region
daly_rate,DALY Rate,Leave one World Bank region out,139,-0.034280544694373305,-3.369962383624614,-10.990749056361604,4.903300171064684,0.41342337675686514,Excluded region: East Asia & Pacific,East Asia & Pacific
daly_rate,DALY Rate,Leave one World Bank region out,113,-0.04389730333799828,-4.294776150335133,-11.658075645009468,3.682254365529114,0.28251633181971814,Excluded region: Europe & Central Asia,Europe & Central Asia
daly_rate,DALY Rate,Leave one World Bank region out,134,-0.04034253184285522,-3.9539605467518224,-11.76006303440289,4.542704946077603,0.3509334451062197,Excluded region: Latin America & Caribbean,Latin America & Caribbean
daly_rate,DALY Rate,Leave one World Bank region out,141,-0.028209461524416172,-2.781528981853021,-10.379253462213956,5.4603032470986745,0.4968524483552371,"Excluded region: Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan"
daly_rate,DALY Rate,Leave one World Bank region out,158,-0.03408402691790163,-3.350970997480507,-10.056324916810834,3.854271003384113,0.352845649031002,Excluded region: North America,North America
daly_rate,DALY Rate,Leave one World Bank region out,154,-0.041791090278034876,-4.092988128269082,-10.691680011388883,2.993258940906207,0.250537432613159,Excluded region: South Asia,South Asia
daly_rate,DALY Rate,Leave one World Bank region out,121,-0.00858936125870819,-0.8552578085285756,-8.406438865763189,7.318459752943185,0.8317108643822749,Excluded region: Sub-Saharan Africa,Sub-Saharan Africa
death_rate,Death Rate,Leave one World Bank region out,139,-0.04216288116234506,-4.128638853306466,-12.915943963368704,5.545358202579309,0.39000166235867606,Excluded region: East Asia & Pacific,East Asia & Pacific
death_rate,Death Rate,Leave one World Bank region out,113,-0.048486105784559655,-4.732942417589669,-14.104439366553144,5.661016628562021,0.35876880699312663,Excluded region: Europe & Central Asia,Europe & Central Asia
death_rate,Death Rate,Leave one World Bank region out,134,-0.0530624378673315,-5.167920049451579,-14.866730510185565,5.635827704504748,0.33507074851540675,Excluded region: Latin America & Caribbean,Latin America & Caribbean
death_rate,Death Rate,Leave one World Bank region out,141,-0.02283860202946711,-2.2579775315974993,-11.115538556368287,7.48226181549505,0.63748626902476,"Excluded region: Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan"
death_rate,Death Rate,Leave one World Bank region out,158,-0.03770099756220248,-3.699916255383373,-12.11271911814772,5.518182337292998,0.4189016269129383,Excluded region: North America,North America
death_rate,Death Rate,Leave one World Bank region out,154,-0.04045669428010956,-3.9649247708412605,-12.437738323219595,5.327746196348504,0.39061825936935024,Excluded region: South Asia,South Asia
death_rate,Death Rate,Leave one World Bank region out,121,-0.005726964432313924,-0.571059663235185,-10.74754287895473,10.765736825421723,0.9172037461332185,Excluded region: Sub-Saharan Africa,Sub-Saharan Africa
