country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Maldives,MDV,daly_rate,M2_primary,0.0834863389191662,-1.911764755056572,0.2036607510551622,0.025,True,False
Guyana,GUY,daly_rate,M2_primary,0.07902358580547689,2.5017738988412526,0.12571072697850164,0.025,True,True
United States,USA,daly_rate,M2_primary,0.07874039772076961,0.9282227429108831,0.5010835291097324,0.025,True,False
Canada,CAN,daly_rate,M2_primary,0.07874039772072718,-0.9282227429106326,0.5010835291097324,0.025,True,False
Tajikistan,TJK,daly_rate,M2_primary,0.06000190450859915,-2.266119065686334,0.11668069947629682,0.025,True,True
Kyrgyzstan,KGZ,daly_rate,M2_primary,0.05211999709189546,-2.287236660226594,0.10128780157081353,0.025,True,True
Haiti,HTI,daly_rate,M2_primary,0.03489223324400632,2.092620686268795,0.0822618087439698,0.025,True,True
Japan,JPN,daly_rate,M2_primary,0.03274547918137515,-1.0797145690518575,0.23624520700343718,0.025,True,False
Palau,PLW,daly_rate,M2_primary,0.029223081872504723,2.145684287622966,0.06673756852093618,0.025,True,True
Comoros,COM,daly_rate,M2_primary,0.026486287582923793,-3.1321938889253813,0.030494177912423686,0.025,True,True
Tuvalu,TUV,daly_rate,M2_primary,0.025695850335993163,1.877371806508677,0.0754055064803882,0.025,True,False
Honduras,HND,daly_rate,M2_primary,0.024578080369845597,-2.061373348984729,0.06104380355378009,0.025,False,True
Central African Republic,CAF,daly_rate,M2_primary,0.024092758627307503,2.289692047570374,0.04942048594493218,0.025,False,True
Djibouti,DJI,daly_rate,M2_primary,0.02221331925342861,1.6055534590169342,0.08741842604658384,0.025,False,False
Eswatini,SWZ,daly_rate,M2_primary,0.02070683925762755,1.7516389877878595,0.06999836587834954,0.025,False,False
Laos,LAO,daly_rate,M2_primary,0.019821674790801304,1.5141498931186366,0.0875315504807456,0.025,False,False
Jordan,JOR,daly_rate,M2_primary,0.019701995103798272,-1.5713597955756657,0.081419787581634,0.025,False,False
Nicaragua,NIC,daly_rate,M2_primary,0.01875243112591295,-1.8536870838144934,0.05750427266856131,0.025,False,False
Kenya,KEN,daly_rate,M2_primary,0.018612700210561196,-1.718424531377996,0.06563184303127943,0.025,False,False
Sao Tome and Principe,STP,daly_rate,M2_primary,0.01812716623759781,-2.1714854116889324,0.0415411635273273,0.025,False,True
Bhutan,BTN,daly_rate,M2_primary,0.01698854425662313,0.8958681491441359,0.18866278720522794,0.025,False,False
Niger,NER,daly_rate,M2_primary,0.016147828346773994,2.1158054564339195,0.03901995268131915,0.025,False,True
Chad,TCD,daly_rate,M2_primary,0.01551902901831578,2.3275012008680216,0.03142663516603161,0.025,False,True
