outcome_label,model,model_description,n,percent_difference,percent_ci_low,percent_ci_high,p_value,r_squared,adjusted_r_squared
DALY Rate,M0_unadjusted,Unadjusted regulation association,163,-19.9384,-26.771,-12.4684,0.0,0.1406,0.1353
DALY Rate,M1_development,Adjusted for log GDP per capita,160,-2.4862,-10.3067,6.0161,0.555,0.3895,0.3818
DALY Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",160,-3.3432,-10.0461,3.8592,0.3538,0.6909,0.6702
DALY Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,163,-5.3568,-12.0959,1.8989,0.1441,0.6698,0.6481
DALY Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,160,-4.02,-10.7244,3.1879,0.2668,0.6962,0.6736
DALY Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,155,-3.7842,-10.6902,3.6559,0.3101,0.7038,0.681
Death Rate,M0_unadjusted,Unadjusted regulation association,163,7.0461,-5.0466,20.6788,0.2656,0.0069,0.0008
Death Rate,M1_development,Adjusted for log GDP per capita,160,5.805,-7.5501,21.0894,0.4124,0.004,-0.0087
Death Rate,M2_primary,"Primary model: GDP, age structure, urbanization, and World Bank region",160,-3.6909,-12.0943,5.5158,0.4195,0.7445,0.7273
Death Rate,M3_health_system,Health-system sensitivity model replacing GDP with health spending,163,-5.1206,-13.5927,4.1821,0.2707,0.7253,0.7072
Death Rate,M4_environment,Environmental-context sensitivity model adding PM2.5,160,-2.6947,-11.3632,6.8216,0.5661,0.7506,0.732
Death Rate,M5_industrial,Industrial-context sensitivity model adding manufacturing share,155,-3.5965,-12.2756,5.9413,0.4467,0.7514,0.7322
